Number_of_particle Mass(MeV) Beam_energy(MeV) Beam_Frequency(MHz) Beam_courant(A) Beam_Charge
1000 938.272 0.1 162.5 0 0
x(mm) x'(mrad) y(mm) y'(mrad) z(mm) z'(mrad) Phase(deg) Time(s) Energy(MeV) Loss
1.05704192203228330982e+000	-5.28715932520208298229e+000	3.63952714793356335576e-001	-2.86800404806854203343e+000	1.34664416366713854956e+001	7.43303525483230753679e-001	-1.79870873576595670329e+002	-3.07471588993596712166e-009	1.00148685045505281277e-001	0
1.04504800067041969669e+000	4.86056404409828246571e+000	4.61740857532220161374e-001	-1.12699641825747676194e+001	1.34395198950069758581e+001	6.61938949958372213622e-002	-1.79642922526790982829e+002	-3.07081922916413774724e-009	1.00013240940833803005e-001	0
5.41407436977522138477e-001	-1.10394489929276460316e+001	8.22654810577603257116e-001	2.76809125411091372371e+000	1.34125813895362231420e+001	2.34921962360846559026e-001	-1.79250756389095670329e+002	-3.06411548049684612701e-009	1.00046992070937867947e-001	0
4.81824037998364929081e-001	8.89532910881462157704e+000	4.66508559726150906499e-001	5.08375382254598662257e+000	1.33856605791943881201e+001	-5.92292732803155974608e-001	-1.79036736613705045329e+002	-3.06045707358610131118e-009	9.98815221264607866480e-002	0
-1.84143343793778058171e-001	-1.07070785924988740589e+001	-4.73858350345892631594e-001	1.23719797490048222244e+001	1.33587230050462100195e+001	-1.73303148371172388575e-001	-1.78616128093197232829e+002	-3.05326704723402387240e-009	9.99653337075955827906e-002	0
1.11346144360248899829e+000	6.02648351563038886525e+000	5.23912198219420588430e-001	7.53947454213630408049e-001	1.33317817056077334570e+001	2.55407697509969333627e-001	-1.78159051066830045329e+002	-3.04545374167592187073e-009	1.00051089890266176052e-001	0
-9.87396448898039125197e-002	1.66024974569481855724e+001	2.03262870741980350431e-001	9.15071032650303095579e-001	1.33048655518787715124e+001	-7.15132783411075667601e-001	-1.77993188029720670329e+002	-3.04261867616023907098e-009	9.98569501116521318629e-002	0
3.74271036272318724514e-001	1.24990147560638433788e+001	4.40595266590548817476e-002	-2.80620171484770253301e+000	1.32779400849240634130e+001	-1.36401019223221142695e+000	-1.77738442546322232829e+002	-3.03826393736844935697e-009	9.97271535470731218531e-002	0
-2.82583966316565238230e-002	-6.12036054732379852794e+000	-6.60933552466360652033e-001	-1.20152923258137889206e+001	1.32509997168081614660e+001	-8.54398744890471295577e-001	-1.77288903361751920329e+002	-3.03057941768120387346e-009	9.98290923908002336695e-002	0
-1.91677234105384286522e-001	-1.30037386879521363880e+001	-7.86915361572084748332e-001	5.82338180596707388759e+000	1.32240621426599833654e+001	-4.16077974263583560965e-001	-1.76852807170345670329e+002	-3.02312493620466072239e-009	9.99167708232648332789e-002	0
6.54629602942065957905e-001	-6.41046240704235970043e+000	-9.79853908687857710902e-001	-1.17829031290602870286e+001	1.31971236371892306494e+001	-1.02385204412979324839e-001	-1.76435204631283170329e+002	-3.01598642420092589086e-009	9.99795196130521257594e-002	0
-1.60742263395889040112e-001	-1.07924678340750688221e+001	1.44301762509343234342e+000	1.22938995269942097366e+001	1.31701935136216494726e+001	-2.18558047676463862441e-001	-1.76103310710384732829e+002	-3.01031318454509134094e-009	9.99562812521703203394e-002	0
-1.61540648303235911953e+000	-1.30259274482923501637e+001	2.00797984470568735560e-002	-4.83779040892841294408e+000	1.31432587334411952185e+001	-1.04024070209828456424e-001	-1.75716500407650357829e+002	-3.00370091825502883362e-009	9.99791917875058611109e-002	0
-1.65887194888284739136e-001	1.06176137015027052257e+001	-5.90713925816146456782e-001	-9.36847077478887513280e+000	1.31163239532607409643e+001	5.42749123594208834898e-002	-1.75329339152767545329e+002	-2.99708265676063335045e-009	1.00010856755042787380e-001	0
7.11790515489326480747e-001	1.30938217265429557301e+000	4.27828986972542679723e-001	-7.48353162576677277684e+000	1.30893938296931597876e+001	-1.92187285178345879100e-001	-1.74999962932064420329e+002	-2.99145227171354933157e-009	9.99615562632329424098e-002	0
-4.02817127613900538563e-001	6.43749246595325530507e+000	-7.93095967423198544566e-001	4.12919661233900114894e+000	1.30624618434804293798e+001	-3.22104208648209711097e-001	-1.74662652141048795329e+002	-2.98568621741285611856e-009	9.99355686381108720973e-002	0
-6.30087571770502563595e-001	-3.16216456482288776897e+000	1.78696448153999654096e+000	1.45253344459342770278e+001	1.30355335825579974340e+001	-4.51052745815371414206e-001	-1.74339196330501920329e+002	-2.98015730675022283899e-009	9.99097747280843218043e-002	0
1.25222079369621042133e-001	6.89252782834591926076e+000	5.48111276544602787908e-001	1.02755661142873577774e+001	1.30085885578292224096e+001	3.36642978468904952027e-001	-1.73836083537533170329e+002	-2.97155707511226652636e-009	1.00067339606548066921e-001	0
1.09551136512999391925e+000	2.52316406950158125255e+001	-5.66105298388777100627e-001	-2.79186959174694493413e+000	1.29816584342616412329e+001	3.05094950122753838517e-001	-1.73524224406673795329e+002	-2.96622600619262144969e-009	1.00061028964782472439e-001	0
-7.32145450164182420849e-001	7.16523630766096175648e+000	-8.09895222231773459498e-001	-1.04929366128635592759e+001	1.29547255167263362097e+001	1.49701246514911512353e-001	-1.73149346476986295329e+002	-2.95981779889448504614e-009	1.00029945142532106228e-001	0
-2.61984390525697108387e-001	1.34542680101367295720e+000	-1.26270879820737036425e+000	-2.63736507834983058274e+001	1.29277879425781581091e+001	7.80475869065145655412e-001	-1.72726769572689420329e+002	-2.95259424380706392762e-009	1.00156120724941011257e-001	0
